Porosity,Permeability,Available fluid,Oil saturation,Total hydrocarbon (gas measurement),Total hydrocarbon (light hydrocarbon),Number of peaks,Benzene,Toluene,Methyl cycloalkane index,C1-C5/full hydrocarbon,C1/full hydrocarbon
9.5,5.448882435,62.34,37.24,3.791,20341,56,167.967,27.596,4.165789,0.5753551,0.363395
19.32,9.148257867,34.15,38.89,10.1685,16307.64,59,31.407,10.672,4.249777,0.6954764,0.4244661
7.58,0.015445407,12.16,3.81,1.339,16712.204,55.6,102.9242,15.28,4.6020248,0.61606376,0.38222656
12.09,1.760916986,36.75,27.01,0.948,43985.02,62,192.773,52.664,3.473272,0.7345468,0.4597984
17.06,21.73192862,50.62,29.04,0.89,43985.02,62,192.773,52.664,3.473272,0.7345468,0.4597984
9.32,0.011221718,7.24,10.26,0.527,9157.179,53,52.076,9.335,3.958805,0.6505264,0.4065006
17.64,10.27233378,39.73,33.6,3.0432,22227.25,47,134.365,6.897,2.29,0.6498191,0.4524622
8.72,0.240804851,29.23,5.66,4.275199,22667.45,64,158.565,55.189,3.747151,0.5911297,0.3543046
4.82,0.041730177,36.01,9.13,1.53,15444,55,107.661,13.211,3.723101,0.6769181,0.4593387
10.89,0.303596937,22.92,26.65,3.0166,23558,55,209.714,31.437,4.099665,0.6349825,0.3646687
11.13,0.562110867,27.92,29.42,2.118899,10243,54,56.476,10.814,3.733828,0.6052178,0.3834169
15.39,8.748116438,44.42,39.96,1.6636,26677.28,63,161.095,51.984,4.111101,0.6396194,0.411498
14.71,2.969306106,33.76,24.91,1.1511,16711,47,63.859,7.209,4.508275,0.7108142,0.4717592
5.59,0.001367226,7.04,10.72,2.3,391.826,21,0,0,4.19542,0.5481616,0.3236028
4.79,0.004046564,15.07,10.7,1.1029,64308.75,53,206.445,91.65,2.8848494,0.8143005,0.2465708
11.53,3.230832268,46.39,39.85,10.69859,51369.914,58.19999,153.3037,42.905,3.12498074,0.82533346,0.2492344
10.9,4.034839875,51.97,40.54,13.28619,57164.89,65,178.607,40.321,3.9286803,0.8190069,0.2231588
8.65,0.002215177,3.87,7.83,1.625799,2198.812,47,3.52,13.37,3.36,0.766306,0.287514349
8.14,0.057758432,18.84,10.07,0.659,19341.36,41,32.248,52.195,2.9519405,0.8910557,0.4604402
9.57,3.751466531,57.51,46.91,5.34,36182.6,49,66.829,17.414,2.9019428,0.8497965,0.30888
13.27,0.209751967,14.27,21.89,1.7485,16414.13,39,73.627,30.042,2.579166,0.7448162,0.5603828
13.05,1.619179762,32.35,22.61,0.9351999,25193.87,41,41.677,50.197,4.430963,0.8198918,0.6181465
10.23,1.64937484,43.99,29.23,1.196,25193.87,41,41.677,50.197,4.430963,0.8198918,0.6181465
13.46,2.520143542,35.93,6.96,4.764,6044.31,58,21.576,82.171,2.629167,0.3999459,0.2023273
17.7,13.48208245,42.86,5.52,0.054,6044.31,58,21.576,82.171,2.629167,0.3999459,0.2023273
10.14,0.076775206,14.71,4.4,0.182,63656.99,45,45.521,101.669,2.923511,0.9143047,0.5301182
7.37,0.82858311,51.75,12.85,8.604,39035.495,42,25.589,64.1755,2.276212,0.9071418,0.5369871
19.18,86.98834833,61.87,10.32,0.196,14289.12,42,20.496,28.699,2.39528,0.7834777,0.454409
20.08,152.6659817,66.23,15.27,0.265,16547.13,41,36.797,56.886,3.666719,0.7748402,0.4441777
15.71,20.52655267,54.02,6.91,0.326,15611,47,7.09,23.673,3.797785,0.8759371,0.61677
21.47,139.7492573,62.14,9.32,0.345,31774.91,56,148.265,171.042,1.106251,0.6643599,0.1921231
20.74,142.0263347,63.94,10.19,0.547,31774.91,56,148.265,171.042,1.106251,0.6643599,0.1921231
13.87,53.37630267,70.85,5.42,0.672,27138.82,64,20.634,162.17,1.15,0.7278398,0.6464993
19.58,50.41480968,54.24,3.76,0.315,23418.34,49,20.077,36.601,1.09,0.8714003,0.609647
21.15,85.28250187,56.92,10.14,8.646,25428.535,48.25,18.685375,71.992375,1.076760625,0.853428838,0.589456813
13.38,6.945144265,48.51,3.69,6.718,5036,47.33333333,3.463,7.635333333,4.164035667,0.7106385,0.414736267
